Created at,User,Tweet,ID,Number of Retweets,Number of likes,Source,Location
2022-10-09 15:56:27+00:00,SPStavrosAuthor,"@LynnDiavol I try to drink matcha over coffee, because it helps with anxiety problems instead of making them worse",1.57914E+18,0,0,Twitter for Android,Canada
2022-10-09 15:54:44+00:00,dellianarose,"Height: 5’3”
Age: 29
Shoe Size: 8 or 9 (depending on the shoe) 
Zodiac Sign: Sagittarius 
Tattoos: 1 
Piercings: 2… https://t.co/VA5nQx4NuK",1.57914E+18,0,0,Twitter for iPhone,"Ottawa, Ontario"
2022-10-09 15:36:25+00:00,DeeReads_,drink matcha and sin,1.57913E+18,0,1,Twitter Web App,
2022-10-09 14:57:00+00:00,atasteofmadness,"Easy Vanilla Matcha Chai Latte recipe. This healthy warm comforting drink idea is vegan and gluten free, perfect on… https://t.co/CUpNVNNdbh",1.57912E+18,1,0,Twitter Web App,"Chicago, IL"
2022-10-09 14:21:21+00:00,ogidigest,did you drink your oatly matcha latte today? https://t.co/Hb9bu8SWGX,1.57911E+18,0,0,Twitter Web App,
2022-10-09 13:55:48+00:00,maryam_a201,Id rather drink beer than drink matcha https://t.co/HiOMjtcJBG,1.57911E+18,0,0,Twitter for iPhone,"Rochester, NY"
2022-10-09 13:28:29+00:00,fukuroumochi,"5 tags, 5 faves!

food: SUKIYAKI!! 🍲 
drink: matcha latte 🍵
color: Seijoh color 💚🤍 (is it mint green or turquoise b… https://t.co/tChOZzN5VX",1.5791E+18,0,2,Twitter Web App,she/her • 25+
2022-10-09 13:02:19+00:00,fairyhrts,@T_Player123 also i brought matcha cake but then they gave me lemon cake.. first they put no boba in my drink then… https://t.co/EqtmJf2ISs,1.57909E+18,0,1,Twitter Web App,"any prns ♡ lesbian ☆★
﹕minor 17 ︵ scorpio﹑🍰 ✦"
2022-10-09 12:12:33+00:00,iwttham,"food: risotto or anything with rice really
drink: matcha 🍵 or mint black tea
color: yellow
season: may/june when it… https://t.co/QNm7lazGF8",1.57908E+18,0,1,Twitter for iPhone,🤍❤️🤍
2022-10-09 12:09:42+00:00,zxhravita,My mum calls matcha “that green drink” 😂,1.57908E+18,0,1,Twitter for iPhone,
2022-10-09 10:16:36+00:00,piirtelen,"thank you for the tag cheese💕

5 tags &amp; faves
Food - i don't have a #1 but would currently love some bbq after fore… https://t.co/b2L9KzfdAO",1.57905E+18,0,2,Twitter for Android,🇫🇮 | they/them
2022-10-09 10:11:40+00:00,sirexyn,gonna drink matcha tonite,1.57905E+18,0,0,Twitter for Android,
2022-10-09 10:00:55+00:00,MIDnightt_y,"5 faves 5 tags 🧡

Food: DESSERTS!!!
Drink: Iced Tea or Matcha
Color: Black/White
Season: Winter
Show: Demon Slayer?… https://t.co/fDHfmbIf6d",1.57905E+18,0,2,Twitter for Android,
